title,pubdate,id,authors,categories,search,abstract,displaydate
Rigid Formats Controlled Text Generation,2020-04-17 01:40:18+00:00,http://arxiv.org/abs/2004.08022v1,"Piji Li, Haisong Zhang, Xiaojiang Liu, Shuming Shi","cs.CL, cs.LG",knowledge,"Neural text generation has made tremendous progress in various tasks. One
common characteristic of most of the tasks is that the texts are not restricted
to some rigid formats when generating. However, we may confront some special
text paradigms such as Lyrics (assume the music score is given), Sonnet, SongCi
(classical Chinese poetry of the Song dynasty), etc. The typical
characteristics of these texts are in three folds: (1) They must comply fully
with the rigid predefined formats. (2) They must obey some rhyming schemes. (3)
Although they are restricted to some formats, the sentence integrity must be
guaranteed. To the best of our knowledge, text generation based on the
predefined rigid formats has not been well investigated. Therefore, we propose
a simple and elegant framework named SongNet to tackle this problem. The
backbone of the framework is a Transformer-based auto-regressive language
model. Sets of symbols are tailor-designed to improve the modeling performance
especially on format, rhyme, and sentence integrity. We improve the attention
mechanism to impel the model to capture some future information on the format.
A pre-training and fine-tuning framework is designed to further improve the
generation quality. Extensive experiments conducted on two collected corpora
demonstrate that our proposed framework generates significantly better results
in terms of both automatic metrics and the human evaluation.",2020-04-17
Query-Variant Advertisement Text Generation with Association Knowledge,2020-04-14 12:04:28+00:00,http://arxiv.org/abs/2004.06438v1,"Siyu Duan, Wei Li, Cai Jing, Yancheng He, Yunfang Wu, Xu Sun",cs.CL,knowledge,"Advertising is an important revenue source for many companies. However, it is
expensive to manually create advertisements that meet the needs of various
queries for massive items. In this paper, we propose the query-variant
advertisement text generation task that aims to generate candidate
advertisements for different queries with various needs given the item
keywords. In this task, for many different queries there is only one general
purposed advertisement with no predefined query-advertisement pair, which would
discourage traditional End-to-End models from generating query-variant
advertisements for different queries with different needs. To deal with the
problem, we propose a query-variant advertisement text generation model that
takes keywords and associated external knowledge as input during training and
adds different queries during inference. Adding external knowledge helps the
model adapted to the information besides the item keywords during training,
which makes the transition between training and inference more smoothing when
the query is added during inference. Both automatic and human evaluation show
that our model can generate more attractive and query-focused advertisements
than the strong baselines.",2020-04-14
"Have Your Text and Use It Too! End-to-End Neural Data-to-Text Generation
  with Semantic Fidelity",2020-04-08 11:16:53+00:00,http://arxiv.org/abs/2004.06577v2,"Hamza Harkous, Isabel Groves, Amir Saffari",cs.CL,knowledge,"End-to-end neural data-to-text (D2T) generation has recently emerged as an
alternative to pipeline-based architectures. However, it has faced challenges
in generalizing to new domains and generating semantically consistent text. In
this work, we present DataTuner, a neural, end-to-end data-to-text generation
system that makes minimal assumptions about the data representation and the
target domain. We take a two-stage generation-reranking approach, combining a
fine-tuned language model with a semantic fidelity classifier. Each of our
components is learnt end-to-end without the need for dataset-specific
heuristics, entity delexicalization, or post-processing. We show that DataTuner
achieves state of the art results on the automated metrics across four major
D2T datasets (LDC2017T10, WebNLG, ViGGO, and Cleaned E2E), with a fluency
assessed by human annotators nearing or exceeding the human-written reference
texts. We further demonstrate that the model-based semantic fidelity scorer in
DataTuner is a better assessment tool compared to traditional, heuristic-based
measures. Our generated text has a significantly better semantic fidelity than
the state of the art across all four datasets",2020-04-08
Semantics of the Unwritten,2020-04-05 16:55:09+00:00,http://arxiv.org/abs/2004.02251v1,"He Bai, Peng Shi, Jimmy Lin, Luchen Tan, Kun Xiong, Wen Gao, Jie Liu, Ming Li",cs.CL,knowledge,"The semantics of a text is manifested not only by what is read, but also by
what is not read. In this article, we will study how those implicit ""not read""
information such as end-of-paragraph (EOP) and end-of-sequence (EOS) affect the
quality of text generation. Transformer-based pretrained language models (LMs)
have demonstrated the ability to generate long continuations with good quality.
This model gives us a platform for the first time to demonstrate that paragraph
layouts and text endings are also important components of human writing.
Specifically, we find that pretrained LMs can generate better continuations by
learning to generate the end of the paragraph (EOP) in the fine-tuning stage.
Experimental results on English story generation show that EOP can lead to
higher BLEU score and lower EOS perplexity. To further investigate the
relationship between text ending and EOP, we conduct experiments with a
self-collected Chinese essay dataset on Chinese-GPT2, a character level LM
without paragraph breaker or EOS during pre-training. Experimental results show
that the Chinese GPT2 can generate better essay endings with paragraph
information. Experiments on both English stories and Chinese essays demonstrate
that learning to end paragraphs can benefit the continuation generation with
pretrained LMs.",2020-04-05
"Towards information-rich, logical text generation with
  knowledge-enhanced neural models",2020-03-02 12:41:02+00:00,http://arxiv.org/abs/2003.00814v1,"Hao Wang, Bin Guo, Wei Wu, Zhiwen Yu",cs.AI,knowledge,"Text generation system has made massive promising progress contributed by
deep learning techniques and has been widely applied in our life. However,
existing end-to-end neural models suffer from the problem of tending to
generate uninformative and generic text because they cannot ground input
context with background knowledge. In order to solve this problem, many
researchers begin to consider combining external knowledge in text generation
systems, namely knowledge-enhanced text generation. The challenges of knowledge
enhanced text generation including how to select the appropriate knowledge from
large-scale knowledge bases, how to read and understand extracted knowledge,
and how to integrate knowledge into generation process. This survey gives a
comprehensive review of knowledge-enhanced text generation systems, summarizes
research progress to solving these challenges and proposes some open issues and
research directions.",2020-03-02
"Generating Followup Questions for Interpretable Multi-hop Question
  Answering",2020-02-27 18:58:15+00:00,http://arxiv.org/abs/2002.12344v1,"Christopher Malon, Bing Bai",cs.CL,knowledge,"We propose a framework for answering open domain multi-hop questions in which
partial information is read and used to generate followup questions, to finally
be answered by a pretrained single-hop answer extractor. This framework makes
each hop interpretable, and makes the retrieval associated with later hops as
flexible and specific as for the first hop. As a first instantiation of this
framework, we train a pointer-generator network to predict followup questions
based on the question and partial information. This provides a novel
application of a neural question generation network, which is applied to give
weak ground truth single-hop followup questions based on the final answers and
their supporting facts. Learning to generate followup questions that select the
relevant answer spans against downstream supporting facts, while avoiding
distracting premises, poses an exciting semantic challenge for text generation.
We present an evaluation using the two-hop bridge questions of HotpotQA.",2020-02-27
Few-shot Natural Language Generation for Task-Oriented Dialog,2020-02-27 18:48:33+00:00,http://arxiv.org/abs/2002.12328v1,"Baolin Peng, Chenguang Zhu, Chunyuan Li, Xiujun Li, Jinchao Li, Michael Zeng, Jianfeng Gao",cs.CL,knowledge,"As a crucial component in task-oriented dialog systems, the Natural Language
Generation (NLG) module converts a dialog act represented in a semantic form
into a response in natural language. The success of traditional template-based
or statistical models typically relies on heavily annotated data, which is
infeasible for new domains. Therefore, it is pivotal for an NLG system to
generalize well with limited labelled data in real applications. To this end,
we present FewShotWoz, the first NLG benchmark to simulate the few-shot
learning setting in task-oriented dialog systems. Further, we develop the
SC-GPT model. It is pre-trained on a large set of annotated NLG corpus to
acquire the controllable generation ability, and fine-tuned with only a few
domain-specific labels to adapt to new domains. Experiments on FewShotWoz and
the large Multi-Domain-WOZ datasets show that the proposed SC-GPT significantly
outperforms existing methods, measured by various automatic metrics and human
evaluations.",2020-02-27
"Incorporating Joint Embeddings into Goal-Oriented Dialogues with
  Multi-Task Learning",2020-01-28 17:15:02+00:00,http://arxiv.org/abs/2001.10468v1,"Firas Kassawat, Debanjan Chaudhuri, Jens Lehmann","cs.CL, cs.LG, cs.NE, stat.ML",knowledge,"Attention-based encoder-decoder neural network models have recently shown
promising results in goal-oriented dialogue systems. However, these models
struggle to reason over and incorporate state-full knowledge while preserving
their end-to-end text generation functionality. Since such models can greatly
benefit from user intent and knowledge graph integration, in this paper we
propose an RNN-based end-to-end encoder-decoder architecture which is trained
with joint embeddings of the knowledge graph and the corpus as input. The model
provides an additional integration of user intent along with text generation,
trained with a multi-task learning paradigm along with an additional
regularization technique to penalize generating the wrong entity as output. The
model further incorporates a Knowledge Graph entity lookup during inference to
guarantee the generated output is state-full based on the local knowledge graph
provided. We finally evaluated the model using the BLEU score, empirical
evaluation depicts that our proposed architecture can aid in the betterment of
task-oriented dialogue system`s performance.",2020-01-28
Bringing Stories Alive: Generating Interactive Fiction Worlds,2020-01-28 04:13:05+00:00,http://arxiv.org/abs/2001.10161v1,"Prithviraj Ammanabrolu, Wesley Cheung, Dan Tu, William Broniec, Mark O. Riedl","cs.AI, cs.CL",knowledge,"World building forms the foundation of any task that requires narrative
intelligence. In this work, we focus on procedurally generating interactive
fiction worlds---text-based worlds that players ""see"" and ""talk to"" using
natural language. Generating these worlds requires referencing everyday and
thematic commonsense priors in addition to being semantically consistent,
interesting, and coherent throughout. Using existing story plots as
inspiration, we present a method that first extracts a partial knowledge graph
encoding basic information regarding world structure such as locations and
objects. This knowledge graph is then automatically completed utilizing
thematic knowledge and used to guide a neural language generation model that
fleshes out the rest of the world. We perform human participant-based
evaluations, testing our neural model's ability to extract and fill-in a
knowledge graph and to generate language conditioned on it against rule-based
and human-made baselines. Our code is available at
https://github.com/rajammanabrolu/WorldGeneration.",2020-01-28
"ERNIE-GEN: An Enhanced Multi-Flow Pre-training and Fine-tuning Framework
  for Natural Language Generation",2020-01-26 02:54:49+00:00,http://arxiv.org/abs/2001.11314v3,"Dongling Xiao, Han Zhang, Yukun Li, Yu Sun, Hao Tian, Hua Wu, Haifeng Wang","cs.CL, cs.LG",knowledge,"Current pre-training works in natural language generation pay little
attention to the problem of exposure bias on downstream tasks. To address this
issue, we propose an enhanced multi-flow sequence to sequence pre-training and
fine-tuning framework named ERNIE-GEN, which bridges the discrepancy between
training and inference with an infilling generation mechanism and a noise-aware
generation method. To make generation closer to human writing patterns, this
framework introduces a span-by-span generation flow that trains the model to
predict semantically-complete spans consecutively rather than predicting word
by word. Unlike existing pre-training methods, ERNIE-GEN incorporates
multi-granularity target sampling to construct pre-training data, which
enhances the correlation between encoder and decoder. Experimental results
demonstrate that ERNIE-GEN achieves state-of-the-art results with a much
smaller amount of pre-training data and parameters on a range of language
generation tasks, including abstractive summarization (Gigaword and
CNN/DailyMail), question generation (SQuAD), dialogue generation (Persona-Chat)
and generative question answering (CoQA).",2020-01-26
