title,pubdate,id,authors,categories,search,abstract,displaydate
"Do You Have the Right Scissors? Tailoring Pre-trained Language Models
  via Monte-Carlo Methods",2020-07-13 02:53:03+00:00,http://arxiv.org/abs/2007.06162v1,"Ning Miao, Yuxuan Song, Hao Zhou, Lei Li",cs.CL,table2text,"It has been a common approach to pre-train a language model on a large corpus
and fine-tune it on task-specific data. In practice, we observe that
fine-tuning a pre-trained model on a small dataset may lead to over- and/or
under-estimation problem. In this paper, we propose MC-Tailor, a novel method
to alleviate the above issue in text generation tasks by truncating and
transferring the probability mass from over-estimated regions to
under-estimated ones. Experiments on a variety of text generation datasets show
that MC-Tailor consistently and significantly outperforms the fine-tuning
approach. Our code is available at this url.",2020-07-13
"Improving Maximum Likelihood Training for Text Generation with Density
  Ratio Estimation",2020-07-12 15:31:24+00:00,http://arxiv.org/abs/2007.06018v1,"Yuxuan Song, Ning Miao, Hao Zhou, Lantao Yu, Mingxuan Wang, Lei Li","stat.ML, cs.CL, cs.LG",table2text,"Auto-regressive sequence generative models trained by Maximum Likelihood
Estimation suffer the exposure bias problem in practical finite sample
scenarios. The crux is that the number of training samples for Maximum
Likelihood Estimation is usually limited and the input data distributions are
different at training and inference stages. Many method shave been proposed to
solve the above problem (Yu et al., 2017; Lu et al., 2018), which relies on
sampling from the non-stationary model distribution and suffers from high
variance or biased estimations. In this paper, we propose{\psi}-MLE, a new
training scheme for auto-regressive sequence generative models, which is
effective and stable when operating at large sample space encountered in text
generation. We derive our algorithm from a new perspective of self-augmentation
and introduce bias correction with density ratio estimation. Extensive
experimental results on synthetic data and real-world text generation tasks
demonstrate that our method stably outperforms Maximum Likelihood Estimation
and other state-of-the-art sequence generative models in terms of both quality
and diversity.",2020-07-12
"The ASRU 2019 Mandarin-English Code-Switching Speech Recognition
  Challenge: Open Datasets, Tracks, Methods and Results",2020-07-12 05:38:57+00:00,http://arxiv.org/abs/2007.05916v1,"Xian Shi, Qiangze Feng, Lei Xie","eess.AS, cs.CL, cs.SD",table2text,"Code-switching (CS) is a common phenomenon and recognizing CS speech is
challenging. But CS speech data is scarce and there' s no common testbed in
relevant research. This paper describes the design and main outcomes of the
ASRU 2019 Mandarin-English code-switching speech recognition challenge, which
aims to improve the ASR performance in Mandarin-English code-switching
situation. 500 hours Mandarin speech data and 240 hours Mandarin-English
intra-sentencial CS data are released to the participants. Three tracks were
set for advancing the AM and LM part in traditional DNN-HMM ASR system, as well
as exploring the E2E models' performance. The paper then presents an overview
of the results and system performance in the three tracks. It turns out that
traditional ASR system benefits from pronunciation lexicon, CS text generating
and data augmentation. In E2E track, however, the results highlight the
importance of using language identification, building-up a rational set of
modeling units and spec-augment. The other details in model training and method
comparsion are discussed.",2020-07-12
The Go Transformer: Natural Language Modeling for Game Play,2020-07-07 14:37:27+00:00,http://arxiv.org/abs/2007.03500v3,"Matthew Ciolino, David Noever, Josh Kalin","cs.CL, cs.LG",table2text,"This work applies natural language modeling to generate plausible strategic
moves in the ancient game of Go. We train the Generative Pretrained Transformer
(GPT-2) to mimic the style of Go champions as archived in Smart Game Format
(SGF), which offers a text description of move sequences. The trained model
further generates valid but previously unseen strategies for Go. Because GPT-2
preserves punctuation and spacing, the raw output of the text generator
provides inputs to game visualization and creative patterns, such as the Sabaki
project's game engine using auto-replays. Results demonstrate that language
modeling can capture both the sequencing format of championship Go games and
their strategic formations. Compared to random game boards, the GPT-2
fine-tuning shows efficient opening move sequences favoring corner play over
less advantageous center and side play. Game generation as a language modeling
task offers novel approaches to more than 40 other board games where historical
text annotation provides training data (e.g., Amazons & Connect 4/6).",2020-07-07
DART: Open-Domain Structured Data Record to Text Generation,2020-07-06 16:35:30+00:00,http://arxiv.org/abs/2007.02871v1,"Dragomir Radev, Rui Zhang, Amrit Rau, Abhinand Sivaprasad, Chiachun Hsieh, Nazneen Fatema Rajani, Xiangru Tang, Aadit Vyas, Neha Verma, Pranav Krishna, Yangxiaokang Liu, Nadia Irwanto, Jessica Pan, Faiaz Rahman, Ahmad Zaidi, Murori Mutuma, Yasin Tarabar, Ankit Gupta, Tao Yu, Yi Chern Tan, Xi Victoria Lin, Caiming Xiong, Richard Socher",cs.CL,table2text,"We introduce DART, a large dataset for open-domain structured data record to
text generation. We consider the structured data record input as a set of RDF
entity-relation triples, a format widely used for knowledge representation and
semantics description. DART consists of 82,191 examples across different
domains with each input being a semantic RDF triple set derived from data
records in tables and the tree ontology of the schema, annotated with sentence
descriptions that cover all facts in the triple set. This hierarchical,
structured format with its open-domain nature differentiates DART from other
existing table-to-text corpora. We conduct an analysis of DART on several
state-of-the-art text generation models, showing that it introduces new and
interesting challenges compared to existing datasets. Furthermore, we
demonstrate that finetuning pretrained language models on DART facilitates
out-of-domain generalization on the WebNLG 2017 dataset. DART is available at
https://github.com/Yale-LILY/dart.",2020-07-06
Adversarial Mutual Information for Text Generation,2020-06-30 19:11:51+00:00,http://arxiv.org/abs/2007.00067v1,"Boyuan Pan, Yazheng Yang, Kaizhao Liang, Bhavya Kailkhura, Zhongming Jin, Xian-Sheng Hua, Deng Cai, Bo Li","cs.CL, cs.LG, stat.ML",table2text,"Recent advances in maximizing mutual information (MI) between the source and
target have demonstrated its effectiveness in text generation. However,
previous works paid little attention to modeling the backward network of MI
(i.e., dependency from the target to the source), which is crucial to the
tightness of the variational information maximization lower bound. In this
paper, we propose Adversarial Mutual Information (AMI): a text generation
framework which is formed as a novel saddle point (min-max) optimization aiming
to identify joint interactions between the source and target. Within this
framework, the forward and backward networks are able to iteratively promote or
demote each other's generated instances by comparing the real and synthetic
data distributions. We also develop a latent noise sampling strategy that
leverages random variations at the high-level semantic space to enhance the
long term dependency in the generation process. Extensive experiments based on
different text generation tasks demonstrate that the proposed AMI framework can
significantly outperform several strong baselines, and we also show that AMI
has potential to lead to a tighter lower bound of maximum mutual information
for the variational information maximization problem.",2020-06-30
Neural Machine Translation For Paraphrase Generation,2020-06-25 07:38:00+00:00,http://arxiv.org/abs/2006.14223v1,"Alex Sokolov, Denis Filimonov","cs.CL, cs.AI, cs.LG",table2text,"Training a spoken language understanding system, as the one in Alexa,
typically requires a large human-annotated corpus of data. Manual annotations
are expensive and time consuming. In Alexa Skill Kit (ASK) user experience with
the skill greatly depends on the amount of data provided by skill developer. In
this work, we present an automatic natural language generation system, capable
of generating both human-like interactions and annotations by the means of
paraphrasing. Our approach consists of machine translation (MT) inspired
encoder-decoder deep recurrent neural network. We evaluate our model on the
impact it has on ASK skill, intent, named entity classification accuracy and
sentence level coverage, all of which demonstrate significant improvements for
unseen skills on natural language understanding (NLU) models, trained on the
data augmented with paraphrases.",2020-06-25
Shared Task on Evaluating Accuracy in Natural Language Generation,2020-06-22 13:30:35+00:00,http://arxiv.org/abs/2006.12234v2,"Ehud Reiter, Craig Thomson",cs.CL,table2text,"We propose a shared task on methodologies and algorithms for evaluating the
accuracy of generated texts. Participants will measure the accuracy of
basketball game summaries produced by NLG systems from basketball box score
data.",2020-06-22
"Efficient text generation of user-defined topic using generative
  adversarial networks",2020-06-22 04:49:47+00:00,http://arxiv.org/abs/2006.12005v1,"Chenhan Yuan, Yi-chin Huang, Cheng-Hung Tsai",cs.CL,table2text,"This study focused on efficient text generation using generative adversarial
networks (GAN). Assuming that the goal is to generate a paragraph of a
user-defined topic and sentimental tendency, conventionally the whole network
has to be re-trained to obtain new results each time when a user changes the
topic. This would be time-consuming and impractical. Therefore, we propose a
User-Defined GAN (UD-GAN) with two-level discriminators to solve this problem.
The first discriminator aims to guide the generator to learn paragraph-level
information and sentence syntactic structure, which is constructed by
multiple-LSTMs. The second one copes with higher-level information, such as the
user-defined sentiment and topic for text generation. The cosine similarity
based on TF-IDF and length penalty are adopted to determine the relevance of
the topic. Then, the second discriminator is re-trained with the generator if
the topic or sentiment for text generation is modified. The system evaluations
are conducted to compare the performance of the proposed method with other
GAN-based ones. The objective results showed that the proposed method is
capable of generating texts with less time than others and the generated text
is related to the user-defined topic and sentiment. We will further investigate
the possibility of incorporating more detailed paragraph information such as
semantics into text generation to enhance the result.",2020-06-22
Fine-grained Sentiment Controlled Text Generation,2020-06-17 14:17:58+00:00,http://arxiv.org/abs/2006.09891v1,"Bidisha Samanta, Mohit Agarwal, Niloy Ganguly","cs.CL, cs.LG",table2text,"Controlled text generation techniques aim to regulate specific attributes
(e.g. sentiment) while preserving the attribute independent content. The
state-of-the-art approaches model the specified attribute as a structured or
discrete representation while making the content representation independent of
it to achieve a better control. However, disentangling the text representation
into separate latent spaces overlooks complex dependencies between content and
attribute, leading to generation of poorly constructed and not so meaningful
sentences. Moreover, such an approach fails to provide a finer control on the
degree of attribute change. To address these problems of controlled text
generation, in this paper, we propose DE-VAE, a hierarchical framework which
captures both information enriched entangled representation and attribute
specific disentangled representation in different hierarchies. DE-VAE achieves
better control of sentiment as an attribute while preserving the content by
learning a suitable lossless transformation network from the disentangled
sentiment space to the desired entangled representation. Through feature
supervision on a single dimension of the disentangled representation, DE-VAE
maps the variation of sentiment to a continuous space which helps in smoothly
regulating sentiment from positive to negative and vice versa. Detailed
experiments on three publicly available review datasets show the superiority of
DE-VAE over recent state-of-the-art approaches.",2020-06-17
Automatically Ranked Russian Paraphrase Corpus for Text Generation,2020-06-17 08:40:52+00:00,http://arxiv.org/abs/2006.09719v1,"Vadim Gudkov, Olga Mitrofanova, Elizaveta Filippskikh",cs.CL,table2text,"The article is focused on automatic development and ranking of a large corpus
for Russian paraphrase generation which proves to be the first corpus of such
type in Russian computational linguistics. Existing manually annotated
paraphrase datasets for Russian are limited to small-sized ParaPhraser corpus
and ParaPlag which are suitable for a set of NLP tasks, such as paraphrase and
plagiarism detection, sentence similarity and relatedness estimation, etc. Due
to size restrictions, these datasets can hardly be applied in end-to-end text
generation solutions. Meanwhile, paraphrase generation requires a large amount
of training data. In our study we propose a solution to the problem: we
collect, rank and evaluate a new publicly available headline paraphrase corpus
(ParaPhraser Plus), and then perform text generation experiments with manual
evaluation on automatically ranked corpora using the Universal Transformer
architecture.",2020-06-17
Learning Latent Space Energy-Based Prior Model,2020-06-15 08:11:58+00:00,http://arxiv.org/abs/2006.08205v2,"Bo Pang, Tian Han, Erik Nijkamp, Song-Chun Zhu, Ying Nian Wu","stat.ML, cs.LG",table2text,"We propose to learn energy-based model (EBM) in the latent space of a
generator model, so that the EBM serves as a prior model that stands on the
top-down network of the generator model. Both the latent space EBM and the
top-down network can be learned jointly by maximum likelihood, which involves
short-run MCMC sampling from both the prior and posterior distributions of the
latent vector. Due to the low dimensionality of the latent space and the
expressiveness of the top-down network, a simple EBM in latent space can
capture regularities in the data effectively, and MCMC sampling in latent space
is efficient and mixes well. We show that the learned model exhibits strong
performances in terms of image and text generation and anomaly detection. The
one-page code can be found in supplementary materials.",2020-06-15
"A Generative Model for Joint Natural Language Understanding and
  Generation",2020-06-12 22:38:55+00:00,http://arxiv.org/abs/2006.07499v1,"Bo-Hsiang Tseng, Jianpeng Cheng, Yimai Fang, David Vandyke","cs.CL, cs.AI",table2text,"Natural language understanding (NLU) and natural language generation (NLG)
are two fundamental and related tasks in building task-oriented dialogue
systems with opposite objectives: NLU tackles the transformation from natural
language to formal representations, whereas NLG does the reverse. A key to
success in either task is parallel training data which is expensive to obtain
at a large scale. In this work, we propose a generative model which couples NLU
and NLG through a shared latent variable. This approach allows us to explore
both spaces of natural language and formal representations, and facilitates
information sharing through the latent space to eventually benefit NLU and NLG.
Our model achieves state-of-the-art performance on two dialogue datasets with
both flat and tree-structured formal representations. We also show that the
model can be trained in a semi-supervised fashion by utilising unlabelled data
to boost its performance.",2020-06-12
